lat,lon,elevation,distance,slope,speed_optimal
43.668024,40.291418,728.0,3499.82,0.0,50.0
43.667746,40.291772,707.0,3541.85,-26.5501,10.0
43.667489,40.292074,707.0,3579.36,0.0,50.0
43.667263,40.29234,707.0,3612.36,0.0,50.0
43.667065,40.29257,707.0,3641.12,0.0,50.0
43.666885,40.292767,707.0,3666.65,0.0,50.0
43.666639,40.292953,780.0,3697.83,66.8729,10.0
43.66649,40.293045,780.0,3715.97,0.0,50.0
43.666388,40.293164,780.0,3730.81,0.0,50.0
43.666346,40.293307,780.0,3743.23,0.0,50.0
43.666356,40.293486,780.0,3757.67,0.0,50.0
43.666393,40.293663,780.0,3772.49,0.0,50.0
43.666494,40.293923,814.0,3796.22,55.0783,10.0
43.66658,40.294159,814.0,3817.48,0.0,50.0
43.666624,40.294326,814.0,3831.78,0.0,50.0
43.666622,40.294546,814.0,3849.47,0.0,50.0
43.666574,40.294749,814.0,3866.65,0.0,50.0
43.666553,40.29491,814.0,3879.81,0.0,50.0
43.666563,40.295055,814.0,3891.53,0.0,50.0
43.666602,40.295208,814.0,3904.57,0.0,50.0
43.666692,40.295448,697.0,3926.32,-79.4718,10.0
43.666842,40.295785,697.0,3958.15,0.0,50.0
43.667024,40.296097,751.0,3990.38,59.1621,10.0
43.667215,40.29637,751.0,4020.93,0.0,50.0
43.667312,40.296604,751.0,4042.63,0.0,50.0
43.667354,40.296777,751.0,4057.3,0.0,50.0
43.667374,40.296942,751.0,4070.76,0.0,50.0
43.667376,40.296969,751.0,4072.94,0.0,50.0
43.667394,40.2972,751.0,4091.63,0.0,50.0
43.667408,40.297409,751.0,4108.51,0.0,50.0
43.667441,40.29755,751.0,4120.43,0.0,50.0
43.667473,40.297633,751.0,4128.0,0.0,50.0
43.667541,40.297762,751.0,4140.84,0.0,50.0
43.667607,40.297893,751.0,4153.68,0.0,50.0
43.667811,40.298122,812.0,4182.9,64.4046,10.0
43.668282,40.298503,812.0,4243.58,0.0,50.0
43.668416,40.29864,812.0,4262.11,0.0,50.0
43.668512,40.298789,812.0,4278.16,0.0,50.0
43.668576,40.299015,812.0,4297.68,0.0,50.0
43.668621,40.299367,812.0,4326.43,0.0,50.0
43.668693,40.299698,812.0,4354.23,0.0,50.0
43.668782,40.299881,716.0,4371.97,-79.5322,10.0
43.668956,40.300159,783.0,4401.54,66.1869,10.0
43.669125,40.300391,783.0,4428.02,0.0,50.0
43.669216,40.300568,783.0,4445.49,0.0,50.0
43.669275,40.300702,783.0,4458.11,0.0,50.0
43.669308,40.300828,783.0,4468.88,0.0,50.0
43.669338,40.300933,783.0,4477.96,0.0,50.0
43.669354,40.301049,783.0,4487.46,0.0,50.0
43.669353,40.301087,783.0,4490.52,0.0,50.0
43.669341,40.30114,783.0,4494.99,0.0,50.0
43.669316,40.301181,783.0,4499.3,0.0,50.0
43.669296,40.301199,783.0,4501.95,0.0,50.0
43.669277,40.301204,783.0,4504.1,0.0,50.0
43.669243,40.301211,783.0,4507.93,0.0,50.0
43.669201,40.301203,783.0,4512.64,0.0,50.0
43.669164,40.301174,783.0,4517.37,0.0,50.0
43.669106,40.301133,783.0,4524.61,0.0,50.0
43.669025,40.301062,783.0,4535.28,0.0,50.0
43.668623,40.300757,800.0,4586.27,18.4385,10.0
43.668328,40.300594,800.0,4621.59,0.0,50.0
43.668099,40.300513,800.0,4647.88,0.0,50.0
43.667847,40.300471,800.0,4676.1,0.0,50.0
43.667287,40.300394,800.0,4738.68,0.0,50.0
43.667025,40.300313,800.0,4768.53,0.0,50.0
43.666788,40.300154,800.0,4797.82,0.0,50.0
43.666508,40.299881,863.0,4835.92,58.8366,10.0
43.66636,40.299796,863.0,4853.74,0.0,50.0
43.666233,40.299765,863.0,4868.08,0.0,50.0
43.666054,40.299811,863.0,4888.33,0.0,50.0
43.665857,40.299925,863.0,4912.07,0.0,50.0
43.665667,40.300011,788.0,4934.31,-73.4897,10.0
43.665499,40.300035,788.0,4953.09,0.0,50.0
43.665129,40.30002,788.0,4994.25,0.0,50.0
43.664797,40.299977,863.0,5031.32,63.6932,10.0
43.664614,40.299918,863.0,5052.22,0.0,50.0
43.664344,40.299743,895.0,5085.38,43.9811,10.0
43.664211,40.299712,895.0,5100.38,0.0,50.0
43.663658,40.299636,895.0,5162.17,0.0,50.0
43.663501,40.299617,895.0,5179.69,0.0,50.0
43.663395,40.299622,895.0,5191.49,0.0,50.0
43.663298,40.299657,895.0,5202.63,0.0,50.0
43.663171,40.299736,895.0,5218.12,0.0,50.0
43.663036,40.299843,895.0,5235.42,0.0,50.0
43.662913,40.29992,895.0,5250.44,0.0,50.0
43.662785,40.299948,895.0,5264.85,0.0,50.0
43.662604,40.299975,895.0,5285.09,0.0,50.0
43.662426,40.299993,906.0,5304.94,28.9987,10.0
43.662148,40.300054,840.0,5336.24,-64.6283,10.0
43.662055,40.300063,840.0,5346.6,0.0,50.0
43.661929,40.300035,840.0,5360.79,0.0,50.0
43.661594,40.2999,906.0,5399.59,59.549,10.0
43.66132,40.29982,906.0,5430.73,0.0,50.0
43.661162,40.299818,906.0,5448.3,0.0,50.0
43.661013,40.299862,906.0,5465.25,0.0,50.0
43.6608,40.299969,906.0,5490.45,0.0,50.0
43.660604,40.300073,840.0,5513.79,-70.5209,10.0
43.660431,40.300132,840.0,5533.6,0.0,50.0
43.660067,40.300191,867.0,5574.36,33.5261,10.0
43.659814,40.30024,867.0,5602.76,0.0,50.0
43.659671,40.300293,867.0,5619.23,0.0,50.0
43.659512,40.300423,867.0,5639.77,0.0,50.0
43.659373,40.300614,867.0,5661.56,0.0,50.0
43.659273,40.300926,867.0,5689.01,0.0,50.0
43.658767,40.302678,878.0,5840.77,4.1458,39.64
43.658733,40.302946,878.0,5862.66,0.0,50.0
43.658784,40.303175,878.0,5881.93,0.0,50.0
43.658872,40.303401,878.0,5902.58,0.0,50.0
43.65902,40.303695,878.0,5931.39,0.0,50.0
43.659878,40.305138,924.0,6081.65,17.0216,10.0
43.659932,40.305403,924.0,6103.8,0.0,50.0
43.659928,40.30578,924.0,6134.13,0.0,50.0
43.659847,40.306205,924.0,6169.48,0.0,50.0
43.659454,40.307927,934.0,6314.74,3.9383,40.15
43.659408,40.308152,934.0,6333.54,0.0,50.0
43.659388,40.308512,956.0,6362.59,37.1416,10.0
43.659463,40.308898,956.0,6394.74,0.0,50.0
43.659623,40.309217,956.0,6425.97,0.0,50.0
43.660191,40.310005,956.0,6515.45,0.0,50.0
43.660268,40.310169,956.0,6531.18,0.0,50.0
43.660331,40.310383,956.0,6549.76,0.0,50.0
43.66036,40.310529,1015.0,6561.94,78.3363,10.0
43.660365,40.310637,1015.0,6570.65,0.0,50.0
43.660378,40.310759,1015.0,6580.57,0.0,50.0
43.660405,40.310885,1015.0,6591.14,0.0,50.0
43.660449,40.310983,988.0,6600.42,-71.0353,10.0
43.660581,40.311058,988.0,6616.29,0.0,50.0
43.660691,40.311041,988.0,6628.6,0.0,50.0
43.660831,40.310986,988.0,6644.78,0.0,50.0
43.661217,40.310765,988.0,6691.24,0.0,50.0
43.661388,40.310644,988.0,6712.6,0.0,50.0
43.661588,40.310485,988.0,6738.25,0.0,50.0
43.662024,40.309888,939.0,6806.49,-35.6805,10.0
43.662219,40.309605,939.0,6837.93,0.0,50.0
43.662363,40.309432,939.0,6859.15,0.0,50.0
43.662481,40.309333,939.0,6874.49,0.0,50.0
43.662612,40.309263,999.0,6890.11,75.4106,10.0
43.662971,40.309136,999.0,6931.32,0.0,50.0
43.663008,40.309128,999.0,6935.48,0.0,50.0
43.663418,40.30904,999.0,6981.62,0.0,50.0
43.663656,40.309074,999.0,7008.22,0.0,50.0
43.663791,40.309155,999.0,7024.59,0.0,50.0
43.66398,40.309314,999.0,7049.19,0.0,50.0
43.664709,40.310265,948.0,7160.65,-24.5877,10.0
43.664784,40.310419,994.0,7175.58,72.0149,10.0
43.664809,40.310496,994.0,7182.37,0.0,50.0
43.664786,40.310608,994.0,7191.73,0.0,50.0
43.664719,40.310664,994.0,7200.44,0.0,50.0
43.664651,40.310642,994.0,7208.2,0.0,50.0
43.664466,40.310467,1039.0,7233.13,61.0172,10.0
43.664264,40.31023,999.0,7262.59,-53.6276,10.0
43.664086,40.310024,999.0,7288.4,0.0,50.0
43.664024,40.309966,999.0,7296.73,0.0,50.0
43.663895,40.309894,999.0,7312.2,0.0,50.0
43.663776,40.309845,999.0,7326.0,0.0,50.0
43.663553,40.309864,999.0,7350.85,0.0,50.0
43.663403,40.309931,999.0,7368.38,0.0,50.0
43.663084,40.310168,999.0,7408.65,0.0,50.0
43.662795,40.310426,1039.0,7446.9,46.278,10.0
43.662673,40.310601,1039.0,7466.45,0.0,50.0
43.662506,40.310968,1039.0,7501.33,0.0,50.0
43.662412,40.311269,988.0,7527.7,-62.6563,10.0
43.662367,40.31148,988.0,7545.39,0.0,50.0
43.662381,40.311575,988.0,7553.19,0.0,50.0
43.662414,40.311631,988.0,7559.0,0.0,50.0
